Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,Unnamed: 30
1627059190.378,,40000.0,32.24545,0.06345822,0.0,3,0.997452,0.0,,,,,,,,,,,,,,32,1,4.0,0.3368988,0.0,0,1,0,
1627059232.133,,40000.0,32.70377,0.06322662,0.0,3,0.9974276,0.0,,,,,,,,,,,,,,32,1,4.0,0.3547096,0.0,0,1,0,
1627059274.639,,40000.0,33.18559,0.06301553,0.0,3,0.9973977,0.0,,,,,,,,,,,,,,32,1,4.0,0.3133316,0.0,0,1,0,
1627059314.955,,40000.0,33.64211,0.06290399,0.0,3,0.9975832,0.0,,,,,,,,,,,,,,32,1,4.0,0.2519493,0.0,0,1,0,
1627059363.37,,40000.0,34.16692,0.06253381,0.0,3,0.9972813,0.0,,,,,,,,,,,,,,32,1,4.0,0.3249092,0.0,0,0,0,
1627059409.375,,40000.0,34.6805,0.06228702,0.0,3,0.9976062,0.0,,,,,,,,,,,,,,32,1,4.0,0.3344307,0.0,0,0,0,
1627059448.931,,40000.0,35.17466,0.06205601,0.0,3,0.9973479,0.0,,,,,,,,,,,,,,32,1,4.0,0.2977295,0.0,0,0,0,
1627059493.016,,40000.0,35.72304,0.06176683,0.0,3,0.9973461,0.0,,,,,,,,,,,,,,32,1,4.0,0.3984489,0.0,0,0,0,
1627059542.971,,40000.0,36.2044,0.06139342,0.0,3,0.9965732,0.0,,,,,,,,,,,,,,32,1,4.0,0.3687401,0.0,0,0,0,
1627059585.486,,40000.0,36.69798,0.06113061,0.0,3,0.9973505,0.0,,,,,,,,,,,,,,32,1,4.0,0.3828583,0.0,0,0,0,
1627059631.111,,40000.0,37.19796,0.0607777,0.0,3,0.9973983,0.0,,,,,,,,,,,,,,32,1,4.0,0.373703,0.0,0,0,0,
1627059673.857,,40000.0,37.72723,0.06029543,0.0,3,0.9973861,0.0,,,,,,,,,,,,,,32,1,4.0,0.3786507,0.0,0,0,0,
1627059718.702,,40000.0,38.22853,0.05951382,0.0,3,0.9972276,0.0,,,,,,,,,,,,,,32,1,4.0,0.415699,0.0,0,0,0,
